mgrs_10km,freq,fire_band
11SMT73,306,Extreme
11SMT74,223,Extreme
11SNT15,200,Extreme
11SNT05,194,Extreme
11SMT75,184,Extreme
11SMT56,171,Extreme
11SMT96,155,Extreme
11SNT72,145,Extreme
11SMT62,137,Extreme
11SMT66,134,Extreme
11SMT72,133,Extreme
11SMT83,114,Extreme
11SMT82,109,Extreme
11SNS15,107,Extreme
11SNT03,104,Extreme
11SMT68,99,Extreme
11SMT77,94,Extreme
11SNT25,92,Extreme
11SNT35,91,Extreme
11SMT95,90,Extreme
11SMT85,90,Extreme
11SNT81,87,Extreme
11SMT54,87,Extreme
11SMT87,86,Extreme
11SMT71,82,Extreme
11SNT73,81,Extreme
11SMT84,80,Extreme
11SMT93,77,Extreme
11SMT80,76,Extreme
11SMT64,75,Extreme
11SMT63,70,Extreme
11SMT86,68,Extreme
11SMT53,68,Extreme
11SLT79,68,Extreme
11SNT45,67,Extreme
11SNS00,62,Extreme
11SMT45,59,Extreme
11SNS61,58,Extreme
11SMS87,57,Extreme
11SNS08,56,Extreme
11SMT90,56,Extreme
11SNS12,56,Extreme
11SMT58,55,Extreme
11SNT71,50,Extreme
11SMT94,50,Extreme
11SMT92,49,Extreme
11SMT59,49,Extreme
11SMT76,47,Extreme
11SMS88,46,Extreme
11SNS13,46,Extreme
11SNT06,46,Extreme
11SMT55,45,Extreme
11SMT78,45,Extreme
11SNT36,44,Extreme
11SNS30,44,Extreme
11SMT81,44,Extreme
11SMS89,43,Extreme
11SNT02,42,Extreme
11SNS02,42,Extreme
11SNS05,42,Extreme
11SMS97,41,Extreme
11SNS11,41,Extreme
11SNT13,40,Extreme
11SNT04,38,Extreme
11SNS03,38,Extreme
11SNT21,37,Extreme
11SNS20,37,Extreme
11SNS14,37,Extreme
11SNS01,37,Extreme
11SMS99,35,Extreme
11SMT91,35,Extreme
11SMT97,34,Extreme
11SNT53,33,Extreme
11SNS23,33,Extreme
11SNT00,33,Extreme
11SMS78,32,Extreme
11SNS10,32,Extreme
11SMS85,32,Extreme
11SNS71,30,Extreme
11SNS36,30,Extreme
11SNS21,30,Extreme
11SMT44,29,High
11SNT10,29,High
