mgrs_10km,Density Per Sq Mile
11SLT07,2.473607491
11SLT08,2820.68942
11SLT09,4244.793942
11SLT16,0
11SLT17,0
11SLT18,2598.349268
11SLT19,74.61214672
11SLT26,0
11SLT27,610.0349222
11SLT28,5345.082365
11SLT29,771.1297425
11SLT36,168.053507
11SLT37,747.624076
11SLT38,4445.958381
11SLT39,2291.366452
11SLT46,7132.743363
11SLT47,962.4513327
11SLT48,3042.137974
11SLT49,1657.007906
11SLT56,1006.744919
11SLT57,317.5743068
11SLT58,59004.63472
11SLT59,5271.017057
11SLT63,0
11SLT64,0
11SLT65,7283.06312
11SLT66,115500.5193
11SLT67,19858.59285
11SLT68,102349.3745
11SLT69,32348.7935
11SLT73,64104.62692
11SLT74,85797.29513
11SLT75,109748.9406
11SLT76,205683.0231
11SLT77,167847.6308
11SLT78,80775.57906
11SLT79,2483.481653
11SLT83,37363.11721
11SLT84,27016.75888
11SLT85,161306.1237
11SLT86,288728.5039
11SLT87,135446.8552
11SLT88,53247.69904
11SLT89,552.994006
11SLT93,55694.45478
11SLT94,56624.36051
11SLT95,78864.95964
11SLT96,87856.84483
11SLT97,114943.9234
11SLT98,19153.03722
11SLT99,0
11SMS49,4335.09434
11SMS57,0
11SMS58,0
11SMS59,0
11SMS66,2682.545843
11SMS67,3379.792399
11SMS68,0
11SMS69,0
11SMS71,0
11SMS72,18577.81322
11SMS73,3580.087243
11SMS74,4835.871068
11SMS75,10582.91947
11SMS76,3200.612678
11SMS77,16216.02417
11SMS78,0
11SMS79,0
11SMS80,10233.98329
11SMS81,25481.52234
11SMS82,60590.73932
11SMS83,8586.673483
11SMS84,9812.017752
11SMS85,2023.439027
11SMS86,6192.735258
11SMS87,1314.648107
11SMS88,273.844556
11SMS89,489.996397
11SMS90,16128.33343
11SMS91,33795.83748
11SMS92,45811.62753
11SMS93,3335.87074
11SMS94,2473.049707
11SMS95,6031.625287
11SMS96,3121.489612
11SMS97,0
11SMS98,154.927285
11SMS99,58.08651948
11SMT02,5635.741823
11SMT03,68102.72685
11SMT04,98328.43001
11SMT05,37452.74637
11SMT06,23425.7387
11SMT07,45961.40285
11SMT08,3696.918388
11SMT09,0
11SMT11,23865.86942
11SMT12,31791.73278
11SMT13,86550.05266
11SMT14,56830.19037
11SMT15,12210.58735
11SMT16,29946.36983
11SMT17,33730.90926
11SMT18,0
11SMT19,0
11SMT20,0
11SMT21,2548.345869
11SMT22,24047.55074
11SMT23,54785.76637
11SMT24,24759.34575
11SMT25,3492.906361
11SMT26,9204.397274
11SMT27,14668.44342
11SMT28,0
11SMT29,0
11SMT30,11343.62458
11SMT31,19521.73511
11SMT32,8135.701161
11SMT33,0
11SMT34,6160.997923
11SMT35,2188.105198
11SMT36,14866.02924
11SMT37,26525.94893
11SMT38,5.78442095
11SMT39,0
11SMT40,2524.461671
11SMT41,7104.979409
11SMT42,5492.386523
11SMT43,29.31777758
11SMT44,7290.546733
11SMT45,4325.151286
11SMT46,1952.820478
11SMT47,19698.75615
11SMT48,0
11SMT49,0
11SMT50,0
11SMT51,0
11SMT52,0
11SMT53,526.1258349
11SMT54,1119.617052
11SMT55,6729.525275
11SMT56,7126.617366
11SMT57,10245.08047
11SMT58,35.73594824
11SMT59,0
11SMT60,0
11SMT61,0
11SMT62,1962.948334
11SMT63,0
11SMT64,0
11SMT65,7883.976513
11SMT66,6485.906967
11SMT67,7988.603497
11SMT68,901.3992686
11SMT69,0
11SMT70,0
11SMT71,1985.01606
11SMT72,2109.958244
11SMT73,551.8534886
11SMT74,5246.892559
11SMT75,13309.05161
11SMT76,9780.350281
11SMT77,24244.04481
11SMT78,930.7234886
11SMT79,0
11SMT80,2392.081951
11SMT81,2647.995283
11SMT82,4263.962217
11SMT83,1552.427122
11SMT84,2648.258414
11SMT85,484.3091567
11SMT86,2971.866525
11SMT87,2160.451577
11SMT88,0
11SMT89,1063.489878
11SMT90,745.5033474
11SMT91,0
11SMT92,378.6398248
11SMT93,2073.835293
11SMT94,0
11SMT95,0
11SMT96,1719.693452
11SMT97,486.199448
11SMT98,407.4456882
11SMT99,0
11SNS00,0
11SNS01,9713.903203
11SNS02,14204.4768
11SNS03,5889.996743
11SNS04,0
11SNS05,0
11SNS06,0
11SNS07,0
11SNS08,62.93283638
11SNS09,0
11SNS10,0
11SNS11,0
11SNS12,89.2762865
11SNS13,0
11SNS14,0
11SNS15,8968.927622
11SNS16,0
11SNS17,0
11SNS18,3.131239138
11SNS19,0
11SNS20,27.39120831
11SNS21,0
11SNS22,0
11SNS23,194.9653828
11SNS24,0
11SNS25,0
11SNS26,9.348671663
11SNS27,0
11SNS28,7.136214132
11SNS29,0
11SNS30,79.30977198
11SNS31,0
11SNS32,0
11SNS33,40.77220854
11SNS34,0
11SNS35,0
11SNS36,0
11SNS37,0
11SNS38,0
11SNS39,0
11SNS40,0
11SNS41,0
11SNS42,31.88624784
11SNS43,40.92354486
11SNS44,0
11SNS45,19.24992446
11SNS46,0
11SNS47,19.0553007
11SNS48,0
11SNS49,0
11SNS50,0
11SNS51,34.37295653
11SNS52,0
11SNS53,3.930659141
11SNS54,0
11SNS55,0
11SNS56,0
11SNS57,0
11SNS58,0
11SNS59,0
11SNS60,0
11SNS61,25.82997797
11SNS62,0
11SNS63,0
11SNS64,0
11SNS65,0
11SNS66,0
11SNS67,5.595524734
11SNS68,0
11SNS69,0
11SNS70,15.7724656
11SNS71,0
11SNS72,0
11SNS73,0
11SNS74,0
11SNS75,0
11SNS76,0
11SNS77,0
11SNS78,0
11SNS79,0
11SNS80,0
11SNS81,0
11SNS82,0
11SNS83,0
11SNS84,0
11SNS85,0
11SNS86,0
11SNS87,0
11SNS88,0
11SNS89,0
11SNS90,0
11SNS91,0
11SNS92,1.20328404
11SNS93,0
11SNS94,0
11SNS95,0
11SNS96,0
11SNS97,0
11SNS98,24.14351444
11SNS99,0
11SNT00,0
11SNT01,0
11SNT02,329.6609358
11SNT03,2961.973088
11SNT04,0
11SNT05,1005.163551
11SNT06,0
11SNT07,83.71961025
11SNT08,400.7552514
11SNT09,113.0538922
11SNT10,30.5383894
11SNT11,0
11SNT12,0
11SNT13,0
11SNT14,0
11SNT15,254.7486573
11SNT16,0
11SNT17,0
11SNT18,1189.493172
11SNT19,329.7102625
11SNT20,0
11SNT21,0
11SNT22,0
11SNT23,142.8415499
11SNT24,0
11SNT25,168.3612835
11SNT26,0
11SNT27,0
11SNT28,0
11SNT29,0
11SNT30,0
11SNT31,36.04605123
11SNT32,0
11SNT33,0
11SNT34,0
11SNT35,17.42321971
11SNT36,0
11SNT37,0
11SNT38,0
11SNT39,0
11SNT40,0
11SNT41,0
11SNT42,10.50089457
11SNT43,370.68982
11SNT44,3965.695832
11SNT45,1030.607409
11SNT46,45.97642235
11SNT47,0
11SNT48,7.100357492
11SNT49,0
11SNT50,0
11SNT51,0
11SNT52,0
11SNT53,1763.802374
11SNT54,258.6794898
11SNT55,63.73351095
11SNT56,0
11SNT57,0
11SNT58,227.656216
11SNT59,15.39001286
11SNT60,0
11SNT61,0
11SNT62,1423.372031
11SNT63,3075.966753
11SNT64,0
11SNT65,0
11SNT66,0
11SNT67,0
11SNT68,107.2973785
11SNT69,0
11SNT70,0
11SNT71,0
11SNT72,1877.39341
11SNT73,2729.427865
11SNT74,0
11SNT75,0
11SNT76,0
11SNT77,0
11SNT78,0
11SNT79,0
11SNT80,110.6974144
11SNT81,0
11SNT82,0
11SNT83,0
11SNT84,0
11SNT85,0
11SNT86,0
11SNT87,0
11SNT88,17.14019462
11SNT89,0
11SNT90,0
11SNT91,273.4691255
11SNT92,0
11SNT93,0
11SNT94,0
11SNT95,0
11SNT96,0
11SNT97,0
11SNT98,0
11SNT99,0
