mgrs_100km,mgrs_10km,lat_raw,lon_raw,date
11SMT,11SMT27,34.15388889,-117.8411111,7/3/2005
11SMT,11SMT53,33.71888889,-117.4336111,6/19/2005
11SNS,11SNS16,33.11083333,-116.8472222,7/31/2005
11SNS,11SNS23,32.83388889,-116.7302778,7/4/2005
11SNS,11SNS08,33.345,-116.9927778,7/5/2005
11SNS,11SNS08,33.32222222,-116.9652778,4/12/2005
11SNS,11SNS08,33.325,-116.9611111,7/2/2005
11SNS,11SNS08,33.34027778,-116.9880556,8/26/2005
11SNS,11SNS31,32.68277778,-116.6341667,7/14/2005
11SNS,11SNS52,32.77027778,-116.4583333,7/22/2005
11SNS,11SNS16,33.13277778,-116.7913889,8/28/2005
11SNT,11SNT11,33.61166667,-116.8719444,8/6/2005
11SNS,11SNS31,32.68194444,-116.64,8/24/2005
11SMT,11SMT18,34.16555556,-117.9047222,8/7/2005
11SNS,11SNS18,33.28138889,-116.8502778,8/17/2005
11SNS,11SNS08,33.33277778,-116.9663889,9/10/2005
11SMT,11SMT28,34.24805556,-117.8408333,8/12/2005
11SMT,11SMT29,34.26638889,-117.8358333,8/27/2005
11SMT,11SMT18,34.21972222,-117.8691667,9/5/2005
11SMS,11SMS99,33.39972222,-117.0363889,9/28/2005
11SNS,11SNS31,32.71,-116.6658333,9/24/2005
11SNS,11SNS14,32.91638889,-116.8144444,9/28/2005
11SNS,11SNS32,32.805,-116.6572222,10/6/2005
11SMT,11SMT71,33.60305556,-117.2969444,6/6/2005
11SNS,11SNS31,32.67166667,-116.6441667,8/11/2005
11SNS,11SNS21,32.68138889,-116.7077778,10/13/2005
11SNS,11SNS28,33.32166667,-116.7177778,10/16/2005
11SLT,11SLT89,34.28444444,-118.2208333,7/6/2005
11SMT,11SMT62,33.63555556,-117.3488889,9/28/2005
11SNS,11SNS44,32.91861111,-116.5041667,7/22/2005
11SNS,11SNS08,33.33305556,-116.9663889,11/15/2005
11SNS,11SNS21,32.66777778,-116.6991667,6/8/2005
11SNS,11SNS41,32.70638889,-116.4911111,11/28/2005
11SMT,11SMT62,33.64555556,-117.3638889,6/21/2005
11SLT,11SLT89,34.30083333,-118.2513889,4/17/2005
11SLT,11SLT99,34.25777778,-118.1936111,5/13/2005
11SLT,11SLT88,34.23027778,-118.2633333,6/1/2005
11SLT,11SLT79,34.27027778,-118.3916667,7/4/2005
11SLT,11SLT79,34.31611111,-118.4019444,7/4/2005
11SLT,11SLT79,34.25861111,-118.33,7/15/2005
11SLT,11SLT79,34.25361111,-118.3158333,8/4/2005
11SLT,11SLT78,34.2125,-118.3402778,9/3/2005
11SLT,11SLT79,34.28166667,-118.3161111,9/27/2005
11SLT,11SLT69,34.33138889,-118.5077778,8/4/2005
11SLT,11SLT88,34.23194444,-118.2694444,8/25/2005
11SMT,11SMT09,34.3325,-118.0263889,9/25/2005
11SNT,11SNT15,33.92694444,-116.7916667,5/31/2006
11SNT,11SNT23,33.79166667,-116.7569444,6/10/2006
11SNT,11SNT15,33.92694444,-116.7916667,6/14/2006
11SNT,11SNT30,33.51194444,-116.6161111,6/6/2006
11SNT,11SNT41,33.58194444,-116.5144444,6/21/2006
11SNT,11SNT24,33.875,-116.75,6/23/2006
11SNT,11SNT21,33.57055556,-116.6813889,6/13/2006
11SLT,11SLT99,34.28833333,-118.1852778,6/10/2006
11SLT,11SLT98,34.22694444,-118.1769444,7/1/2006
11SLT,11SLT79,34.31833333,-118.3302778,6/21/2006
11SLT,11SLT99,34.26555556,-118.1488889,6/26/2006
11SNT,11SNT21,33.55527778,-116.7594444,7/12/2006
11SNT,11SNT21,33.56388889,-116.7213889,7/15/2006
11SMT,11SMT28,34.22111111,-117.8544444,7/1/2006
11SNT,11SNT23,33.73694444,-116.7275,7/10/2006
11SNT,11SNT41,33.61583333,-116.5130556,7/15/2006
11SNT,11SNT34,33.88027778,-116.6138889,7/18/2006
11SNT,11SNT41,33.58555556,-116.5527778,7/20/2006
11SNT,11SNT12,33.62666667,-116.8405556,7/23/2006
11SNT,11SNT41,33.5625,-116.5555556,8/12/2006
11SMT,11SMT37,34.15,-117.6980556,8/11/2006
11SMT,11SMT54,33.79972222,-117.5111111,7/6/2006
11SLT,11SLT79,34.28777778,-118.4088889,8/29/2006
11SNT,11SNT25,33.89166667,-116.7144444,8/12/2006
11SNT,11SNT29,34.2525,-116.7469444,6/9/2006
11SMT,11SMT99,34.28666667,-117.0852778,7/16/2006
11SMT,11SMT99,34.31638889,-117.0413889,7/25/2006
11SNT,11SNT05,33.92055556,-116.9194444,5/29/2006
11SMT,11SMT37,34.15777778,-117.6991667,8/28/2006
11SMT,11SMT18,34.16027778,-117.92,9/8/2006
11SMT,11SMT98,34.22305556,-117.0986111,7/22/2006
11SNS,11SNS29,33.36944444,-116.7830556,9/4/2006
11SMT,11SMT29,34.33,-117.7894444,7/22/2006
11SNT,11SNT07,34.12722222,-116.91,9/3/2006
11SLT,11SLT89,34.25305556,-118.1963889,6/17/2006
11SMT,11SMT59,34.33277778,-117.4630556,9/2/2006
11SMT,11SMT59,34.27361111,-117.5305556,9/8/2006
11SMT,11SMT59,34.26305556,-117.4688889,9/13/2006
11SMT,11SMT58,34.25027778,-117.4388889,6/5/2006
11SNT,11SNT15,33.95833333,-116.7916667,6/14/2006
11SMT,11SMT97,34.08388889,-117.0936111,7/21/2006
11SMT,11SMT58,34.18638889,-117.4611111,7/23/2006
11SNT,11SNT17,34.10388889,-116.7861111,7/24/2006
11SMT,11SMT97,34.0975,-117.1011111,7/5/2006
11SMT,11SMT53,33.72166667,-117.4352778,9/12/2006
11SMT,11SMT51,33.6075,-117.4427778,9/27/2006
11SMT,11SMT49,34.3325,-117.5625,7/24/2006
11SMT,11SMT68,34.20138889,-117.4088889,7/11/2006
11SMT,11SMT58,34.17805556,-117.4413889,7/14/2006
11SMT,11SMT49,34.28888889,-117.5438889,6/24/2006
11SNT,11SNT07,34.14194444,-116.9705556,6/28/2006
11SNS,11SNS32,32.75444444,-116.6691667,7/23/2006
11SLT,11SLT98,34.20388889,-118.1294444,7/9/2006
11SLT,11SLT79,34.27277778,-118.3516667,6/16/2006
11SNT,11SNT03,33.78166667,-116.9013889,8/30/2006
11SMT,11SMT89,34.28444444,-117.2125,9/19/2006
11SMT,11SMT78,34.24388889,-117.2852778,9/3/2006
11SNT,11SNT03,33.78166667,-116.9013889,8/29/2006
11SNT,11SNT44,33.85222222,-116.5627778,10/9/2006
11SLT,11SLT99,34.27333333,-118.1644444,9/19/2006
11SNS,11SNS43,32.82166667,-116.5452778,7/14/2006
11SNS,11SNS43,32.84,-116.54,7/17/2006
11SNS,11SNS33,32.82472222,-116.6227778,9/16/2006
11SNS,11SNS34,32.94888889,-116.6422222,10/27/2006
11SLT,11SLT69,34.29305556,-118.4136111,10/29/2006
11SNT,11SNT23,33.74777778,-116.7066667,9/27/2006
11SNT,11SNT25,33.90055556,-116.7533333,10/13/2006
11SNT,11SNT15,33.895,-116.8825,9/23/2006
11SMT,11SMT51,33.60166667,-117.51,10/27/2006
11SNT,11SNT12,33.695,-116.8330556,9/2/2006
11SLT,11SLT79,34.29083333,-118.4061111,11/17/2006
11SNS,11SNS38,33.27527778,-116.6308333,10/29/2006
11SMT,11SMT62,33.64805556,-117.37,11/12/2006
11SMT,11SMT37,34.15527778,-117.6822222,11/12/2006
11SMT,11SMT39,34.28111111,-117.7516667,11/18/2006
11SNT,11SNT15,33.91055556,-116.8669444,10/22/2006
11SNT,11SNT25,33.89972222,-116.7661111,10/26/2006
11SNT,11SNT19,34.32388889,-116.8875,8/22/2006
11SNT,11SNT27,34.14833333,-116.705,9/26/2006
11SMT,11SMT88,34.24555556,-117.1994444,11/1/2006
11SMT,11SMT69,34.25166667,-117.4208333,9/29/2006
11SMT,11SMT59,34.33,-117.5130556,7/22/2006
11SNT,11SNT23,33.75833333,-116.7625,8/8/2006
11SMT,11SMT97,34.08416667,-117.0936111,8/29/2006
11SMT,11SMT68,34.24555556,-117.4341667,9/5/2006
11SMT,11SMT98,34.22805556,-117.0766667,7/22/2006
11SNT,11SNT08,34.24694444,-116.9777778,11/26/2006
11SMT,11SMT28,34.23111111,-117.7919444,5/9/2007
11SLT,11SLT89,34.285,-118.29,4/27/2007
11SLT,11SLT79,34.26166667,-118.3869444,5/13/2007
11SNT,11SNT13,33.76388889,-116.8325,6/2/2007
11SNS,11SNS16,33.12388889,-116.8813889,5/9/2007
11SNS,11SNS41,32.67111111,-116.5591667,6/5/2007
11SNS,11SNS33,32.83611111,-116.6402778,7/11/2007
11SMT,11SMT28,34.24777778,-117.8394444,7/7/2007
11SMT,11SMT49,34.295,-117.5655556,4/3/2007
11SMT,11SMT49,34.32416667,-117.5594444,4/3/2007
11SMT,11SMT59,34.32694444,-117.4525,5/23/2007
11SMT,11SMT59,34.32194444,-117.4552778,5/24/2007
11SMT,11SMT68,34.16972222,-117.3497222,5/27/2007
11SMT,11SMT59,34.27361111,-117.5305556,6/3/2007
11SMT,11SMT44,33.82583333,-117.5763889,5/3/2007
11SMT,11SMT34,33.87777778,-117.6566667,8/12/2007
11SMT,11SMT38,34.21694444,-117.6666667,7/12/2007
11SNT,11SNT33,33.72277778,-116.5783333,8/17/2007
11SNT,11SNT43,33.73194444,-116.5652778,8/17/2007
11SNT,11SNT23,33.795,-116.7433333,8/21/2007
11SNS,11SNS41,32.6625,-116.5055556,7/21/2007
11SNS,11SNS18,33.27277778,-116.8311111,8/25/2007
11SNS,11SNS42,32.80277778,-116.5611111,9/12/2007
11SMT,11SMT62,33.66305556,-117.3880556,9/12/2007
11SMT,11SMT53,33.71722222,-117.4436111,10/3/2007
11SNS,11SNS53,32.86972222,-116.4216667,10/7/2007
11SMT,11SMT08,34.21555556,-118.0561111,8/30/2007
11SMT,11SMT18,34.18055556,-117.8805556,9/3/2007
11SLT,11SLT98,34.21472222,-118.1302778,8/26/2007
11SMT,11SMT90,33.47,-117.0141667,9/11/2007
11SLT,11SLT79,34.31111111,-118.3925,8/2/2007
11SLT,11SLT78,34.235,-118.3152778,7/18/2007
11SMT,11SMT09,34.32583333,-117.9969444,9/2/2007
11SMT,11SMT28,34.23222222,-117.7858333,10/26/2007
11SLT,11SLT89,34.25083333,-118.2680556,5/27/2007
11SLT,11SLT79,34.27611111,-118.3097222,6/20/2007
11SLT,11SLT79,34.30833333,-118.3544444,10/23/2007
11SLT,11SLT79,34.29333333,-118.4091667,11/12/2007
11SNS,11SNS53,32.87277778,-116.4169444,10/24/2007
11SNS,11SNS33,32.87083333,-116.6355556,10/21/2007
11SNT,11SNT34,33.83972222,-116.6641667,11/10/2007
11SMT,11SMT90,33.46944444,-117.0066667,10/10/2007
11SMT,11SMT71,33.60916667,-117.2852778,10/24/2007
11SNS,11SNS23,32.83805556,-116.7030556,11/16/2007
11SMT,11SMT33,33.74583333,-117.6666667,10/21/2007
11SNT,11SNT08,34.185,-116.9180556,6/6/2007
11SMT,11SMT37,34.15,-117.7363889,10/21/2007
11SMT,11SMT89,34.27333333,-117.1330556,6/18/2007
11SMT,11SMT69,34.30916667,-117.3458333,7/4/2007
11SMT,11SMT89,34.30277778,-117.1808333,7/22/2007
11SMT,11SMT79,34.33777778,-117.2419444,8/14/2007
11SMT,11SMT99,34.25805556,-117.0102778,9/1/2007
11SMT,11SMT99,34.25805556,-117.0102778,9/14/2007
11SMT,11SMT89,34.27472222,-117.2169444,10/22/2007
11SMT,11SMT99,34.25194444,-117.05,10/22/2007
11SNT,11SNT44,33.86083333,-116.5675,11/20/2007
11SNS,11SNS23,32.83777778,-116.7266667,11/16/2007
11SMT,11SMT68,34.22666667,-117.4102778,10/22/2007
11SMT,11SMT59,34.25138889,-117.4477778,11/7/2007
11SMT,11SMT59,34.26555556,-117.5016667,11/24/2007
11SNS,11SNS25,33.07444444,-116.7111111,10/21/2007
11SMS,11SMS89,33.39694444,-117.1480556,10/22/2007
11SNT,11SNT10,33.44305556,-116.8583333,10/21/2007
11SNS,11SNS18,33.2775,-116.8680556,10/23/2007
11SMT,11SMT59,34.27361111,-117.5305556,6/16/2007
11SMT,11SMT58,34.24305556,-117.4438889,6/16/2007
11SMT,11SMT68,34.23333333,-117.4194444,8/4/2007
11SMT,11SMT68,34.18666667,-117.4263889,7/29/2007
11SMT,11SMT68,34.17194444,-117.3561111,7/23/2007
11SNT,11SNT05,33.95444444,-116.8963889,7/14/2007
11SMT,11SMT68,34.24166667,-117.4330556,7/13/2007
11SMT,11SMT96,34.01805556,-117.0011111,7/8/2007
11SMT,11SMT68,34.24333333,-117.4255556,6/26/2007
11SNT,11SNT32,33.70388889,-116.5891667,4/17/2008
11SNT,11SNT33,33.72027778,-116.6252778,4/29/2008
11SNS,11SNS16,33.12305556,-116.8733333,4/27/2008
11SNT,11SNT00,33.47027778,-116.9830556,6/17/2008
11SMT,11SMT33,33.75861111,-117.6730556,6/24/2008
11SMT,11SMT34,33.875,-117.6847222,6/19/2008
11SLT,11SLT79,34.31305556,-118.37,6/23/2008
11SLT,11SLT69,34.30833333,-118.4255556,5/13/2008
11SMT,11SMT39,34.24944444,-117.6516667,5/13/2008
11SMT,11SMT17,34.14972222,-117.9294444,6/2/2008
11SLT,11SLT79,34.265,-118.3772222,4/15/2008
11SMT,11SMT08,34.17333333,-118.03,4/26/2008
11SLT,11SLT79,34.24972222,-118.3225,7/3/2008
11SNT,11SNT15,33.90694444,-116.7872222,5/16/2008
11SNT,11SNT12,33.70555556,-116.8572222,5/19/2008
11SNT,11SNT17,34.09888889,-116.8433333,6/3/2008
11SMT,11SMT68,34.23805556,-117.4094444,6/1/2008
11SMT,11SMT50,33.50305556,-117.4880556,7/2/2008
11SLT,11SLT89,34.27444444,-118.2463889,7/18/2008
11SLT,11SLT79,34.30666667,-118.3616667,7/29/2008
11SMT,11SMT08,34.17527778,-118.0708333,7/18/2008
11SNT,11SNT43,33.78083333,-116.4766667,6/7/2008
11SNT,11SNT00,33.4675,-116.9580556,8/18/2008
11SMT,11SMT88,34.17694444,-117.145,5/18/2008
11SNT,11SNT34,33.87333333,-116.5905556,6/1/2008
11SNT,11SNT01,33.56944444,-116.9175,7/9/2008
11SMT,11SMT88,34.17166667,-117.1463889,4/26/2008
11SMT,11SMT28,34.24444444,-117.8486111,8/6/2008
11SMT,11SMT68,34.24305556,-117.4080556,7/28/2008
11SMT,11SMT96,34.07055556,-117.0313889,7/3/2008
11SNS,11SNS18,33.29083333,-116.7855556,9/12/2008
11SNT,11SNT00,33.44916667,-116.8944444,9/11/2008
11SLT,11SLT88,34.23361111,-118.3008333,7/18/2008
11SNT,11SNT20,33.50055556,-116.78,8/25/2008
11SMS,11SMS69,33.425,-117.3916667,9/25/2008
11SMT,11SMT34,33.85805556,-117.6638889,10/15/2008
11SLT,11SLT79,34.29472222,-118.3611111,10/12/2008
11SLT,11SLT89,34.29972222,-118.27,10/13/2008
11SMT,11SMT37,34.13305556,-117.7416667,10/27/2008
11SMT,11SMT88,34.23888889,-117.1819444,10/2/2008
11SNT,11SNT08,34.21083333,-116.9344444,9/24/2008
11SNT,11SNT07,34.15694444,-116.9008333,5/8/2008
11SNS,11SNS16,33.13416667,-116.8480556,11/13/2008
11SNT,11SNT13,33.73777778,-116.8366667,10/3/2008
11SMT,11SMT51,33.60166667,-117.4516667,11/17/2008
11SNT,11SNT09,34.31638889,-116.9519444,7/8/2008
11SMT,11SMT69,34.25777778,-117.3647222,9/22/2008
11SMT,11SMT98,34.20083333,-117.0425,9/14/2008
11SMT,11SMT39,34.26277778,-117.7441667,11/23/2008
11SLT,11SLT79,34.33,-118.4111111,11/14/2008
11SMT,11SMT48,34.16055556,-117.6430556,10/23/2008
11SMT,11SMT78,34.16916667,-117.2444444,11/16/2008
11SMT,11SMT58,34.1775,-117.4880556,10/22/2008
11SMT,11SMT79,34.33805556,-117.2238889,9/1/2008
11SMT,11SMT78,34.22666667,-117.2813889,10/20/2008
11SNT,11SNT41,33.60638889,-116.5677778,11/21/2008
11SNT,11SNT30,33.45722222,-116.6711111,11/22/2008
11SNS,11SNS43,32.84,-116.54,10/17/2008
11SMT,11SMT34,33.87277778,-117.7388889,11/15/2008
11SMT,11SMT59,34.26972222,-117.4488889,8/25/2008
11SMT,11SMT58,34.24833333,-117.4486111,6/23/2008
11SMT,11SMT68,34.215,-117.4183333,5/7/2009
11SMT,11SMT38,34.22,-117.6688889,5/21/2009
11SMT,11SMT18,34.18083333,-117.8811111,5/22/2009
11SMT,11SMT28,34.18861111,-117.7655556,6/3/2009
11SMT,11SMT29,34.31944444,-117.8522222,6/3/2009
11SNS,11SNS52,32.77,-116.4333333,5/5/2009
11SNS,11SNS25,32.98888889,-116.7388889,5/24/2009
11SNS,11SNS43,32.88,-116.4663889,5/27/2009
11SMT,11SMT52,33.64083333,-117.4605556,6/3/2009
11SNS,11SNS32,32.78972222,-116.6666667,5/30/2009
11SNS,11SNS38,33.30388889,-116.6633333,6/4/2009
11SLT,11SLT79,34.27222222,-118.3811111,6/11/2009
11SMT,11SMT27,34.14138889,-117.7830556,6/3/2009
11SNT,11SNT44,33.85333333,-116.5638889,4/3/2009
11SMT,11SMT19,34.31916667,-117.9169444,6/3/2009
11SMT,11SMT52,33.67,-117.5341667,6/16/2009
11SNT,11SNT06,34.07055556,-116.9547222,5/30/2009
11SNT,11SNT07,34.10027778,-116.9630556,6/2/2009
11SMT,11SMT48,34.18666667,-117.6238889,6/3/2009
11SMT,11SMT88,34.17194444,-117.1986111,6/3/2009
11SNT,11SNT16,34.04083333,-116.8308333,6/3/2009
11SMT,11SMT87,34.12805556,-117.1797222,6/7/2009
11SLT,11SLT79,34.28833333,-118.4005556,6/30/2009
11SNT,11SNT13,33.73805556,-116.84,5/24/2009
11SMT,11SMT38,34.18305556,-117.6783333,7/2/2009
11SMT,11SMT53,33.76472222,-117.4861111,6/23/2009
11SMT,11SMT37,34.14916667,-117.7408333,7/12/2009
11SMT,11SMT52,33.67,-117.5341667,6/16/2009
11SMT,11SMT17,34.15111111,-117.94,7/20/2009
11SMT,11SMT62,33.62972222,-117.3444444,7/9/2009
11SNS,11SNS18,33.31138889,-116.8569444,7/9/2009
11SNS,11SNS28,33.26388889,-116.7730556,7/11/2009
11SNS,11SNS16,33.12111111,-116.8855556,7/18/2009
11SLT,11SLT79,34.29027778,-118.3997222,6/25/2009
11SNT,11SNT05,33.89611111,-116.8991667,5/17/2009
11SMS,11SMS79,33.35,-117.3125,7/30/2009
11SMT,11SMT44,33.82777778,-117.5755556,8/5/2009
11SMT,11SMT41,33.54055556,-117.5513889,8/13/2009
11SLT,11SLT79,34.30416667,-118.3463889,7/5/2009
11SMT,11SMT78,34.2025,-117.3244444,7/10/2009
11SMT,11SMT58,34.22944444,-117.4611111,7/16/2009
11SMT,11SMT53,33.77888889,-117.5022222,8/28/2009
11SMT,11SMT53,33.74527778,-117.4494444,9/1/2009
11SNS,11SNS42,32.7725,-116.5447222,9/1/2009
11SMT,11SMT18,34.18666667,-117.8708333,8/25/2009
11SMT,11SMT78,34.22972222,-117.3027778,6/3/2009
11SMT,11SMT79,34.29166667,-117.23,6/5/2009
11SMT,11SMT27,34.15472222,-117.7713889,9/4/2009
11SNT,11SNT13,33.74333333,-116.8372222,7/25/2009
11SMT,11SMT51,33.59527778,-117.4841667,9/4/2009
11SNS,11SNS34,32.96305556,-116.6458333,9/5/2009
11SNS,11SNS43,32.85416667,-116.5663889,9/17/2009
11SNT,11SNT00,33.46777778,-116.9277778,9/19/2009
11SMT,11SMT58,34.2425,-117.4383333,8/14/2009
11SLT,11SLT79,34.26972222,-118.3377778,8/18/2009
11SMT,11SMT58,34.24861111,-117.4394444,8/22/2009
11SMT,11SMT68,34.24305556,-117.4080556,9/5/2009
11SMT,11SMT59,34.26083333,-117.4494444,9/12/2009
11SNS,11SNS13,32.84861111,-116.8066667,10/26/2009
11SNT,11SNT05,33.89361111,-116.8947222,7/7/2009
11SNT,11SNT34,33.88805556,-116.6247222,7/31/2009
11SNT,11SNT10,33.52638889,-116.8447222,9/2/2009
11SMT,11SMT78,34.24111111,-117.2866667,9/27/2009
11SMT,11SMT44,33.825,-117.5791667,11/10/2009
11SNT,11SNT04,33.88555556,-116.8938889,10/3/2009
11SMT,11SMT58,34.22972222,-117.4783333,10/3/2009
11SMT,11SMT87,34.10027778,-117.1666667,10/1/2009
11SMT,11SMT59,34.33972222,-117.4786111,10/1/2009
11SLT,11SLT89,34.2525,-118.2680556,10/21/2009
11SMT,11SMT28,34.16972222,-117.8438889,11/25/2009
11SNT,11SNT13,33.73138889,-116.84,9/2/2009
11SLT,11SLT98,34.2425,-118.1888889,8/26/2009
11SNT,11SNT13,33.73611111,-116.8180556,8/27/2009
11SMT,11SMT78,34.18055556,-117.2713889,10/28/2009
11SMT,11SMT96,34.05027778,-117.01,8/30/2009
11SMT,11SMT58,34.235,-117.435,6/18/2000
11SMT,11SMT58,34.23333333,-117.4833333,5/30/2000
11SMT,11SMT87,34.15111111,-117.1858333,6/1/2000
11SMT,11SMT59,34.26777778,-117.5358333,6/24/2000
11SMT,11SMT56,34.03333333,-117.4680556,7/7/2000
11SMT,11SMT68,34.2,-117.39,7/19/2000
11SMT,11SMT59,34.31944444,-117.4947222,7/21/2000
11SNT,11SNT23,33.73388889,-116.7016667,6/16/2000
11SNT,11SNT23,33.77222222,-116.6997222,5/25/2000
11SNT,11SNT17,34.08472222,-116.8683333,6/18/2000
11SNT,11SNT07,34.07222222,-116.9194444,8/15/2000
11SMT,11SMT69,34.31361111,-117.3755556,8/2/2000
11SMT,11SMT98,34.22888889,-117.0772222,8/12/2000
11SMT,11SMT68,34.21861111,-117.4180556,8/18/2000
11SMT,11SMT59,34.30166667,-117.4347222,9/4/2000
11SMT,11SMT78,34.17166667,-117.285,9/11/2000
11SNT,11SNT18,34.235,-116.8022222,9/24/2000
11SNT,11SNT38,34.21444444,-116.6705556,8/19/2000
11SMT,11SMT58,34.18555556,-117.4830556,10/8/2000
11SMT,11SMT69,34.26722222,-117.4341667,10/1/2000
11SNT,11SNT22,33.66444444,-116.7094444,7/23/2000
11SMT,11SMT79,34.30027778,-117.2669444,10/1/2000
11SNT,11SNT51,33.53611111,-116.435,9/7/2000
11SNT,11SNT13,33.75833333,-116.8333333,10/10/2000
11SNT,11SNT17,34.08388889,-116.8833333,9/2/2000
11SMT,11SMT97,34.15111111,-117.0347222,10/4/2000
11SNT,11SNT19,34.25138889,-116.8191667,11/9/2000
11SNS,11SNS42,32.76166667,-116.4783333,7/22/2000
11SNS,11SNS41,32.67333333,-116.5616667,7/27/2000
11SNS,11SNS43,32.85,-116.565,7/30/2000
11SNS,11SNS33,32.82666667,-116.625,8/27/2000
11SMT,11SMT52,33.65416667,-117.4488889,6/15/2000
11SNS,11SNS32,32.77166667,-116.67,9/16/2000
11SNS,11SNS32,32.76583333,-116.6097222,9/19/2000
11SNS,11SNS44,32.92,-116.4816667,4/23/2000
11SNS,11SNS31,32.69166667,-116.645,5/20/2000
11SNS,11SNS31,32.70166667,-116.6216667,6/16/2000
11SMT,11SMT38,34.22055556,-117.6675,5/22/2000
11SMT,11SMT38,34.21888889,-117.6597222,5/22/2000
11SMT,11SMT29,34.31916667,-117.8511111,5/29/2000
11SMT,11SMT28,34.22138889,-117.8519444,7/19/2000
11SMT,11SMT28,34.22277778,-117.8577778,8/11/2000
11SMT,11SMT29,34.29972222,-117.8333333,10/23/2000
11SMT,11SMT28,34.23166667,-117.7741667,6/16/2000
11SLT,11SLT79,34.30833333,-118.3633333,8/13/2000
11SMT,11SMT49,34.31944444,-117.6241667,8/26/2000
11SMT,11SMT29,34.26111111,-117.8497222,7/20/2000
11SMT,11SMT59,34.31305556,-117.4819444,6/19/2001
11SNT,11SNT31,33.56805556,-116.6177778,6/14/2001
11SNT,11SNT12,33.66805556,-116.8336111,6/17/2001
11SMT,11SMT79,34.33305556,-117.2494444,5/30/2001
11SNT,11SNT28,34.22666667,-116.7430556,6/17/2001
11SMT,11SMT59,34.33,-117.5133333,6/11/2001
11SMT,11SMT79,34.27305556,-117.3030556,6/10/2001
11SMT,11SMT97,34.11333333,-117.0416667,7/7/2001
11SMT,11SMT78,34.24305556,-117.3030556,7/27/2001
11SMT,11SMT78,34.24305556,-117.3030556,8/16/2001
11SNT,11SNT19,34.28666667,-116.7952778,8/20/2001
11SMT,11SMT77,34.15083333,-117.3233333,7/22/2001
11SMT,11SMT48,34.17972222,-117.6288889,7/8/2001
11SMT,11SMT78,34.19888889,-117.3227778,7/13/2001
11SMT,11SMT78,34.20027778,-117.2852778,8/13/2001
11SMT,11SMT68,34.24333333,-117.4080556,6/25/2001
11SMT,11SMT59,34.30222222,-117.5102778,9/9/2001
11SMT,11SMT59,34.33,-117.5130556,10/10/2001
11SMT,11SMT78,34.19361111,-117.2883333,10/7/2001
11SMT,11SMT89,34.25805556,-117.18,9/22/2001
11SNT,11SNT28,34.17111111,-116.7608333,9/30/2001
11SNT,11SNT09,34.25833333,-116.9530556,10/12/2001
11SMT,11SMT98,34.22833333,-117.0766667,11/1/2001
11SNT,11SNT12,33.695,-116.7966667,9/24/2001
