mgrs_10km,lat_10km,lon_10km,key
11SMT03,33.70526732,-118.079125,0
11SMT04,33.79544412,-118.0802553,0
11SMT05,33.88561957,-118.0813907,0
11SMT06,33.97579365,-118.0825311,0
11SMT07,34.06596638,-118.0836766,0
11SMT08,34.15613776,-118.0848272,0
11SMT09,34.24630777,-118.085983,0
11SMT12,33.61598164,-117.970214,0
11SMT13,33.70616282,-117.9712268,0
11SMT14,33.79634266,-117.9722441,0
11SMT15,33.88652115,-117.973266,0
11SMT16,33.97669829,-117.9742925,0
11SMT17,34.06687408,-117.9753235,0
11SMT18,34.15704851,-117.9763591,0
11SMT19,34.24722159,-117.9773993,0
11SMT22,33.6167802,-117.8624237,0
11SMT23,33.70696409,-117.8633241,0
11SMT24,33.79714665,-117.8642284,0
11SMT25,33.88732786,-117.8651368,0
11SMT26,33.97750773,-117.8660493,0
11SMT27,34.06768626,-117.8669658,0
11SMT28,34.15786343,-117.8678864,0
11SMT29,34.24803926,-117.8688111,0
11SMT31,33.52729721,-117.7538452,0
11SMT32,33.61748484,-117.7546295,0
11SMT33,33.70767113,-117.7554174,0
11SMT34,33.79785608,-117.7562087,0
11SMT35,33.8880397,-117.7570036,0
11SMT36,33.97822198,-117.757802,0
11SMT37,34.06840292,-117.758604,0
11SMT38,34.15858251,-117.7594096,0
11SMT39,34.24876077,-117.7602187,0
11SMT40,33.43771483,-117.6454901,0
11SMT41,33.52790585,-117.6461595,0
11SMT42,33.61809555,-117.6468318,0
11SMT43,33.70828391,-117.6475071,0
11SMT44,33.79847095,-117.6481854,0
11SMT45,33.88865665,-117.6488668,0
11SMT46,33.97884102,-117.6495512,0
11SMT47,34.06902405,-117.6502386,0
11SMT48,34.15920574,-117.6509291,0
11SMT49,34.24938609,-117.6516227,0
11SMT50,33.4382281,-117.537913,0
11SMT51,33.52842087,-117.5384708,0
11SMT52,33.61861232,-117.5390311,0
11SMT53,33.70880244,-117.5395939,0
11SMT54,33.79899123,-117.5401592,0
11SMT55,33.8891787,-117.540727,0
11SMT56,33.97936483,-117.5412973,0
11SMT57,34.06954963,-117.5418702,0
11SMT58,34.1597331,-117.5424457,0
11SMT59,34.24991523,-117.5430237,0
11SMT60,33.43864806,-117.4303334,0
11SMT61,33.52884226,-117.4307796,0
11SMT62,33.61903514,-117.4312279,0
11SMT63,33.7092267,-117.4316781,0
11SMT64,33.79941693,-117.4321304,0
11SMT65,33.88960584,-117.4325846,0
11SMT66,33.97979342,-117.4330409,0
11SMT67,34.06997967,-117.4334992,0
11SMT68,34.16016459,-117.4339596,0
11SMT69,34.25034818,-117.434422,0
11SMT70,33.4389747,-117.3227518,0
11SMT71,33.52917001,-117.3230865,0
11SMT72,33.61936401,-117.3234226,0
11SMT73,33.70955668,-117.3237603,0
11SMT74,33.79974804,-117.3240995,0
11SMT75,33.88993807,-117.3244402,0
11SMT76,33.98012677,-117.3247825,0
11SMT77,34.07031415,-117.3251262,0
11SMT78,34.1605002,-117.3254715,0
11SMT79,34.25068492,-117.3258183,0
11SMT80,33.43920802,-117.2151687,0
11SMT81,33.52940413,-117.2153918,0
11SMT82,33.61959892,-117.2156159,0
11SMT83,33.70979239,-117.2158411,0
11SMT84,33.79998455,-117.2160672,0
11SMT85,33.89017538,-117.2162943,0
11SMT86,33.98036489,-117.2165225,0
11SMT87,34.07055307,-117.2167517,0
11SMT88,34.16073992,-117.2169819,0
11SMT89,34.25092545,-117.2172131,0
11SMT90,33.43934801,-117.1075846,0
11SMT91,33.5295446,-117.1076962,0
11SMT92,33.61973987,-117.1078082,0
11SMT93,33.70993382,-117.1079208,0
11SMT94,33.80012645,-117.1080338,0
11SMT95,33.89031777,-117.1081474,0
11SMT96,33.98050776,-117.1082615,0
11SMT97,34.07069642,-117.1083761,0
11SMT98,34.16088376,-117.1084912,0
11SMT99,34.25106977,-117.1086068,0
11SNT00,33.43939467,-117,0
11SNT01,33.52959142,-117,0
11SNT02,33.61978685,-117,0
11SNT03,33.70998096,-117,0
11SNT04,33.80017376,-117,0
11SNT05,33.89036523,-117,0
11SNT06,33.98055538,-117,0
11SNT07,34.07074421,-117,0
11SNT08,34.16093171,-117,0
11SNT09,34.25111788,-117,0
11SNT10,33.43934801,-116.8924154,0
11SNT11,33.5295446,-116.8923038,0
11SNT12,33.61973987,-116.8921918,0
11SNT13,33.70993382,-116.8920792,0
11SNT14,33.80012645,-116.8919662,0
11SNT15,33.89031777,-116.8918526,0
11SNT16,33.98050776,-116.8917385,0
11SNT17,34.07069642,-116.8916239,0
11SNT18,34.16088376,-116.8915088,0
11SNT19,34.25106977,-116.8913932,0
11SNT20,33.43920802,-116.7848313,0
11SNT21,33.52940413,-116.7846082,0
11SNT22,33.61959892,-116.7843841,0
11SNT23,33.70979239,-116.7841589,0
11SNT24,33.79998455,-116.7839328,0
11SNT25,33.89017538,-116.7837057,0
11SNT26,33.98036489,-116.7834775,0
11SNT27,34.07055307,-116.7832483,0
11SNT28,34.16073992,-116.7830181,0
11SNT29,34.25092545,-116.7827869,0
11SNT30,33.4389747,-116.6772482,0
11SNT31,33.52917001,-116.6769135,0
11SNT32,33.61936401,-116.6765774,0
11SNT33,33.70955668,-116.6762397,0
11SNT34,33.79974804,-116.6759005,0
11SNT35,33.88993807,-116.6755598,0
11SNT36,33.98012677,-116.6752175,0
11SNT37,34.07031415,-116.6748738,0
11SNT38,34.1605002,-116.6745285,0
11SNT39,34.25068492,-116.6741817,0
11SNT40,33.43864806,-116.5696666,0
11SNT41,33.52884226,-116.5692204,0
11SNT42,33.61903514,-116.5687721,0
11SNT43,33.7092267,-116.5683219,0
11SNT44,33.79941693,-116.5678696,0
11SNT45,33.88960584,-116.5674154,0
11SNT46,33.97979342,-116.5669591,0
11SNT47,34.06997967,-116.5665008,0
11SNT48,34.16016459,-116.5660404,0
11SNT49,34.25034818,-116.565578,0
11SNT50,33.4382281,-116.462087,0
11SNT51,33.52842087,-116.4615292,0
11SNT52,33.61861232,-116.4609689,0
11SNT53,33.70880244,-116.4604061,0
11SNT54,33.79899123,-116.4598408,0
11SNT55,33.8891787,-116.459273,0
11SNT56,33.97936483,-116.4587027,0
11SNT57,34.06954963,-116.4581298,0
11SNT58,34.1597331,-116.4575543,0
11SNT59,34.24991523,-116.4569763,0
11SNT60,33.43771483,-116.3545099,0
11SNT61,33.52790585,-116.3538405,0
11SNT62,33.61809555,-116.3531682,0
11SNT63,33.70828391,-116.3524929,0
11SNT64,33.79847095,-116.3518146,0
11SNT65,33.88865665,-116.3511332,0
11SNT66,33.97884102,-116.3504488,0
11SNT67,34.06902405,-116.3497614,0
11SNT68,34.15920574,-116.3490709,0
11SNT69,34.24938609,-116.3483773,0
11SNT70,33.43710826,-116.2469357,0
11SNT71,33.52729721,-116.2461548,0
11SNT72,33.61748484,-116.2453705,0
11SNT73,33.70767113,-116.2445826,0
11SNT74,33.79785608,-116.2437913,0
11SNT75,33.8880397,-116.2429964,0
11SNT76,33.97822198,-116.242198,0
11SNT77,34.06840292,-116.241396,0
11SNT78,34.15858251,-116.2405904,0
11SNT79,34.24876077,-116.2397813,0
11SNT80,33.43640839,-116.139365,0
11SNT81,33.52659496,-116.1384726,0
11SNT82,33.6167802,-116.1375763,0
11SNT83,33.70696409,-116.1366759,0
11SNT84,33.79714665,-116.1357716,0
11SNT85,33.88732786,-116.1348632,0
11SNT86,33.97750773,-116.1339507,0
11SNT87,34.06768626,-116.1330342,0
11SNT88,34.15786343,-116.1321136,0
11SNT89,34.24803926,-116.1311889,0
11SNT90,33.43561524,-116.0317982,0
11SNT91,33.52579911,-116.0307944,0
11SNT92,33.61598164,-116.029786,0
11SNT93,33.70616282,-116.0287732,0
11SNT94,33.79634266,-116.0277559,0
11SNT95,33.88652115,-116.026734,0
11SNT96,33.97669829,-116.0257075,0
11SNT97,34.06687408,-116.0246765,0
11SNT98,34.15704851,-116.0236409,0
11SNT99,34.24722159,-116.0226007,0
11SNS00,32.53735524,-117,0
11SNS01,32.62756504,-117,0
11SNS02,32.71777355,-117,0
11SNS03,32.80798076,-117,0
11SNS04,32.89818666,-117,0
11SNS05,32.98839127,-117,0
11SNS06,33.07859457,-117,0
11SNS07,33.16879656,-117,0
11SNS08,33.25899724,-117,0
11SNS09,33.34919661,-117,0
11SNS10,32.53731014,-116.8935042,0
11SNS11,32.62751979,-116.8933975,0
11SNS12,32.71772815,-116.8932903,0
11SNS13,32.8079352,-116.8931826,0
11SNS14,32.89814095,-116.8930745,0
11SNS15,32.98834539,-116.8929659,0
11SNS16,33.07854853,-116.8928568,0
11SNS17,33.16875037,-116.8927472,0
11SNS18,33.25895089,-116.8926371,0
11SNS19,33.34915011,-116.8925265,0
11SNS20,32.53717487,-116.7870088,0
11SNS21,32.62738405,-116.7867954,0
11SNS22,32.71759194,-116.7865811,0
11SNS23,32.80779852,-116.7863657,0
11SNS24,32.8980038,-116.7861495,0
11SNS25,32.98820777,-116.7859322,0
11SNS26,33.07841044,-116.785714,0
11SNS27,33.1686118,-116.7854948,0
11SNS28,33.25881185,-116.7852746,0
11SNS29,33.34901059,-116.7850535,0
11SNS30,32.53694941,-116.6805144,0
11SNS31,32.62715782,-116.6801943,0
11SNS32,32.71736492,-116.6798728,0
11SNS33,32.80757072,-116.6795498,0
