Row Labels,Average of prcp,Average of prcp_rolling_3day,Average of prcp_rolling_7day,Average of prcp_rolling_14day,,,,,,,,,,,,,Row Labels,Average of tmin,Average of tmin_rolling_3day,Average of tmin_rolling_7day,Average of tmin_rolling_14day,,,,,,,,,,,,,,,,,Row Labels,Average of tmax,Average of tmax_rolling_3day,Average of tmax_rolling_7day,Average of tmax_rolling_14day
4/1/2000,0,0.0013333,0.0042857,0.0284285,,,,,,,,,,,,,4/1/2000,46.6,46.4666667,46.0928572,45.9464288,,,,,,,,,,,,,,,,,4/1/2000,78,74.6666667,72.2499999,70.5892858
4/2/2000,0,0.0240001,0.0785713,0.0492857,,,,,,,,,,,,,4/2/2000,44,44.7666667,43.8571428,44.7142857,,,,,,,,,,,,,,,,,4/2/2000,78.2,73.1666667,69.5714286,68.9285714
4/3/2000,0,0,0.0058571,0.0216428,,,,,,,,,,,,,4/3/2000,47.6,46.0666668,46.2285714,46.3821427,,,,,,,,,,,,,,,,,4/3/2000,79.6,78.6,76.6285713,74.9607141
4/4/2000,0,0,0,0.0114286,,,,,,,,,,,,,4/4/2000,46,45.8666668,48.0428571,48.45,,,,,,,,,,,,,,,,,4/4/2000,82.2,80.0000002,80.4285716,80.8285714
4/5/2000,0,0,0.0007143,0.0028571,,,,,,,,,,,,,4/5/2000,46.8,46.8,46.2714285,47.3285714,,,,,,,,,,,,,,,,,4/5/2000,80.2,80.6666668,80.6428571,79.7285714
4/6/2000,0,0,0.0432857,0.0340714,,,,,,,,,,,,,4/6/2000,45.8,46.2,46.0642858,46.3000001,,,,,,,,,,,,,,,,,4/6/2000,74.4,78.9333334,75.4285714,74.9964285
4/7/2000,0,0,0,0.0322857,,,,,,,,,,,,,4/7/2000,46.2,46.2666664,46.142857,46.1785715,,,,,,,,,,,,,,,,,4/7/2000,73.6,76.0666666,78.0285714,76.4999998
4/8/2000,0,0,0,0.0038572,,,,,,,,,,,,,4/8/2000,49.2,47.0666668,46.5142856,47.9535714,,,,,,,,,,,,,,,,,4/8/2000,81.2,76.4,78.4857142,75.967857
4/9/2000,0,0,0,0.0124285,,,,,,,,,,,,,4/9/2000,46.8,47.3999998,46.9142858,47.4357142,,,,,,,,,,,,,,,,,4/9/2000,78,77.6000002,78.4571428,77.5928573
4/10/2000,0,0,0,0.0112501,,,,,,,,,,,,,4/10/2000,47.6,47.8666668,46.9142858,49.0071429,,,,,,,,,,,,,,,,,4/10/2000,74.8,78,77.7714284,78.1857143
